icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
885970,1669345102,VTBS,1669345887,,TVJ980  ,3127,387,,,0,0
7c103e,1669344813,YBLT,1669346161,YBLT,DHS     ,11451,873,14853,706,0,0
7c1c10,1669344675,YBSS,1669346068,YBSS,FTU     ,1346,47,1344,1,0,2
7c4c02,1669341930,YTYA,1669343491,YMFD,PAS     ,2588,201,12843,1767,0,1
7c676f,1669345337,YSCB,1669346050,YSCB,UPT     ,11938,743,144,18,0,1
7cf9ec,1669342565,,1669346767,YSRI,ALDN57  ,,,3372,101,0,0
a948c4,1669344091,KATL,1669347957,KIND,DAL1597 ,1456,7,3723,115,0,29
aa77c0,1669344270,KSMF,1669347851,KLAS,SWA376  ,1287,37,1315,169,5,3
151fe9,1669342358,,1669347989,UUEE,AFL1899 ,,,14085,488,0,0
71c314,1669345380,,1669348075,RKSS,KAL1194 ,,,1930,17,0,4
7324b1,1669344790,,1669347025,OTHH,IRA5391 ,,,6205,210,0,1
7585f8,1669343622,,1669346093,RPLL,CEB624  ,,,2405,0,0,1
80141c,1669345861,VAID,1669347284,,IGO5232 ,1279,15,,,0,0
8014d6,1669342385,VIDP,1669346848,,IGO2148 ,378,53,,,1,0
800d01,1669343418,,1669346606,VILK,IGO6517 ,,,4764,149,0,1
861bec,1669342651,RJTT,1669347509,,ANA663  ,1789,271,,,0,0
7c3b1c,1669342379,YSSY,1669344839,YSCH,LYM     ,1754,1,2702,2,0,0
7c3d1a,1669343039,YMEN,1669344688,YMEO,MCS     ,111,17,20596,1935,1,2
7c7525,1669345338,YCDR,1669346008,YCDR,XFB     ,2806,743,5630,865,0,1
7c79ba,1669342518,YPPF,1669345340,YPPF,YBW     ,1242,43,639,13,2,4
7c7ab9,1669342141,,1669345558,YSSY,VOZ1533 ,,,1726,36,0,2
aa79a6,1669341933,KLAX,1669342945,,UAL1170 ,758,30,,,2,0
ad3fde,1669342024,KATL,1669347758,,DAL2704 ,1715,30,,,0,0
c00e1f,1669343547,CYUL,1669347499,CYUY,JZA7983 ,1308,5,8555,1588,0,0
c82763,1669345022,,1669347763,NZCH,ZKLJX   ,,,417,122,0,3
c81bc4,1669344322,,1669346926,NZGS,ZKXLB   ,,,1868,239,0,0
e4827e,1669346111,,1669348014,,TAM3534 ,,,,,0,0
